text,intent,intent_prediction.name,intent_prediction.confidence,intent_prediction,confidence,Accurate
Can I have the instore price online?,price_match,price_match,0.9451841115951538,price_match,0.9451841115951538,True
Do you price match for previous purchases?,price_match,price_match,0.8772403001785278,price_match,0.8772403001785278,True
"I just bought this item, but I found it for a lower price on a different website. Can you match that price?",price_match,price_match,0.901472270488739,price_match,0.901472270488739,True
I noticed that your competitor has a promotion on this product. Will you match their price?,price_match,price_match,0.9580567479133606,price_match,0.9580567479133606,True
"If I find a better deal on another online store, can I get the same price here?",price_match,price_match,0.7470550537109375,price_match,0.7470550537109375,True
"I have a coupon code, and I found a lower price elsewhere. Can I use the coupon along with a price match?",price_match,price_match,0.8510586619377136,price_match,0.8510586619377136,True
Is there a holiday sale,discount_code,discount_code,0.998977780342102,discount_code,0.998977780342102,True
How often do you run a sale,discount_code,discount_code,0.998681366443634,discount_code,0.998681366443634,True
Does the discount also apply to things already on sale,discount_code,discount_code,0.9996182918548584,discount_code,0.9996182918548584,True
Am I limited to using just one discount code.,discount_code,discount_code,0.9143041372299194,discount_code,0.9143041372299194,True
The discount code HELLO20 doesn't seem to be working. Is there an issue or another code I can use?,discount_code,discount_code,0.9975952506065369,discount_code,0.9975952506065369,True
Can I stack or use two discount codes simultaneously for a single order?,discount_code,discount_code,0.9938627481460571,discount_code,0.9938627481460571,True
What current promotions or offers are available right now?,discount_code,discount_code,0.9946504235267639,discount_code,0.9946504235267639,True
Can I split my payment,payment_methods,payment_methods,0.9482777118682861,payment_methods,0.9482777118682861,True
"I have a gift card, how do I use it?",payment_methods,payment_methods,0.7305700182914734,payment_methods,0.7305700182914734,True
Could you guide me through the payment process? I'm not sure how to pay for my order.,payment_methods,payment_methods,0.9525187611579895,payment_methods,0.9525187611579895,True
Do you include the models size in the example photos,sizing_clarification,sizing_clarification,0.9189239740371704,sizing_clarification,0.9189239740371704,True
is there a size calculator I can use,sizing_clarification,sizing_clarification,0.8405454158782959,sizing_clarification,0.8405454158782959,True
Do you have unisex sizes,sizing_clarification,sizing_clarification,0.8742573857307434,sizing_clarification,0.8742573857307434,True
